id,system,orca_index,fodft_status,fragment_a_alpha_somo_index,fragment_b_alpha_somo_index_local,fragment_b_alpha_somo_index_merged,projected_block_first,projected_block_second,h_aa_hartree,h_bb_hartree,h_ab_hartree,raw_fragment_somo_overlap_s_ab,fragment_somo_a_norm,fragment_somo_b_norm,lowdin_corrected_t_fo_hartree,target_fodft_coupling_abs_ev,target_fodft_coupling_abs_mev,site_energy_mismatch_abs_ev,generalized_two_state_splitting_ev,half_generalized_splitting_ev,block_eigenvalue_low_ev,block_eigenvalue_high_ev,case_archive_dir,split_method,projection_fragment_order
phenalenyl_0,phenalenyl,0,OK,43,43,87,43,44,-0.216607,-0.216572,0.081,-0.17034435788076044,1.0000000000000022,0.9999999999999967,0.0454232564270729,1.2360297751876375,1236.0297751876374,0.0009523985186097772,2.4720597393209403,1.2360298696604701,-8.097826,-3.689568,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_0,equal_contiguous_halves,A_then_B
phenalenyl_1,phenalenyl,1,OK,43,43,87,43,44,-0.216773,-0.216878,-0.08138,0.17076968112104549,0.9999999999999986,0.999999999999998,-0.04568505917588422,1.2431537909058037,1243.1537909058036,0.002857195555828576,2.486309272829855,1.2431546364149275,-8.114579,-3.685678,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_1,equal_contiguous_halves,A_then_B
phenalenyl_2,phenalenyl,2,OK,43,43,87,43,44,-0.216095,-0.216113,0.078783,-0.16598585159424792,0.9999999999999956,1.0000000000000018,0.04412859378222208,1.2008002099003494,1200.8002099003495,0.0004898049524275185,2.401600471163516,1.200800235581758,-8.024286,-3.736691,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_2,equal_contiguous_halves,A_then_B
phenalenyl_3,phenalenyl,3,OK,43,43,87,43,44,-0.216756,-0.21681,0.081037,-0.1695604584719207,0.9999999999999968,1.0000000000000018,0.04558991946610162,1.2405649075155782,1240.5649075155782,0.001469414857283311,2.4811302630317953,1.2405651315158976,-8.104106,-3.693827,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_3,equal_contiguous_halves,A_then_B
phenalenyl_4,phenalenyl,4,OK,43,43,87,43,44,-0.222144,-0.222188,0.08963,-0.1779264107154557,1.0000000000000007,0.999999999999999,0.051738735987919386,1.407882728846474,1407.8827288464738,0.0011973009948231588,2.815765720569191,1.4078828602845954,-8.484409,-3.60647,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_4,equal_contiguous_halves,A_then_B
phenalenyl_5,phenalenyl,5,OK,43,43,87,43,44,-0.223906,-0.223927,-0.092356,0.17978421296469438,1.0000000000000016,1.0000000000000007,-0.05383957042932672,1.4650493462704834,1465.0493462704835,0.0005714391111655643,2.930098750124325,1.4650493750621625,-8.606213,-3.579951,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_5,equal_contiguous_halves,A_then_B
phenalenyl_6,phenalenyl,6,OK,43,43,87,43,44,-0.208007,-0.208007,0.051917,-0.11609208678412788,1.000000000000003,0.9999999999999996,0.028148399776567544,0.7659569785266618,765.9569785266618,0.0,1.5319139570533253,0.7659569785266627,-7.072877,-4.247413,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_6,equal_contiguous_halves,A_then_B
phenalenyl_7,phenalenyl,7,OK,43,43,87,43,44,-0.212809,-0.213196,-0.065191,0.1363485278847815,1.0000000000000002,0.9999999999999968,-0.03683318553373325,1.002282038228553,1002.2820382285531,0.010530806477197313,2.004592261597369,1.0022961307986844,-7.570021,-4.022156,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_7,equal_contiguous_halves,A_then_B
phenalenyl_8,phenalenyl,8,OK,43,43,87,43,44,-0.212404,-0.212601,0.062136,-0.1293622583886566,0.9999999999999988,1.0000000000000009,0.03523585440071844,0.9588164438053455,958.8164438053454,0.00536064309045971,1.917640507816448,0.958820253908224,-7.473288,-4.091682,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_8,equal_contiguous_halves,A_then_B
phenalenyl_9,phenalenyl,9,OK,43,43,87,43,44,-0.211245,-0.210693,0.05733,-0.12188674216101063,1.0000000000000007,1.0000000000000024,0.03209245351059467,0.8732801480582051,873.2801480582051,0.015020685207785291,1.7466258590245267,0.8733129295122634,-7.300809,-4.180723,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_9,equal_contiguous_halves,A_then_B
