extreme_group,id,system,orca_index,fodft_status,fragment_a_alpha_somo_index,fragment_b_alpha_somo_index_local,fragment_b_alpha_somo_index_merged,projected_block_first,projected_block_second,h_aa_hartree,h_bb_hartree,h_ab_hartree,raw_fragment_somo_overlap_s_ab,fragment_somo_a_norm,fragment_somo_b_norm,lowdin_corrected_t_fo_hartree,target_fodft_coupling_abs_ev,target_fodft_coupling_abs_mev,site_energy_mismatch_abs_ev,generalized_two_state_splitting_ev,half_generalized_splitting_ev,block_eigenvalue_low_ev,block_eigenvalue_high_ev,case_archive_dir,split_method,projection_fragment_order,merge_id,tfo_reconstructed_ev,splitting_reconstructed_ev,orthogonalized_site_a_ev,orthogonalized_site_b_ev,overlap_matrix_min_eigenvalue,tfo_reconstruction_error_ev,splitting_reconstruction_error_ev,overlap_denominator,max_norm_deviation,flag_orbital_norm,flag_overlap_conditioning,flag_fock_diagonal,flag_reconstruction,flag_projection_order,review_high_tfo_gt_5ev,numerical_qc_status
lowest,phenalenyl_231,phenalenyl,231,OK,43,43,87,43,44,-0.216149,-0.203267,9e-06,-0.0001286643452492,1.000000000000003,0.9999999999999996,-1.7981942811219767e-05,0.0004893135912893,0.4893135912893684,0.3505370776208175,0.3505384465822059,0.1752692232911029,-5.881703,-5.531169,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_231,equal_contiguous_halves,A_then_B,phenalenyl_orca_231,0.0004893135912882205,0.3505384465821992,-5.881713990092014,-5.531176909569711,0.9998713356547508,1.0794316829265682e-15,6.716849298982197e-15,0.9999999834454862,3.1086244689504383e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_158,phenalenyl,158,OK,43,43,87,43,44,-0.205547,-0.206688,0.000186,-0.0010325010194468,0.9999999999999978,1.0000000000000029,-2.68165574638518e-05,0.0007297157029366,0.7297157029366037,0.0310481917066723,0.0310824898609973,0.0155412449304986,-5.625074,-5.592408,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_158,equal_contiguous_halves,A_then_B,phenalenyl_orca_158,0.0007297157029353431,0.03108248986091046,-5.593219553861496,-5.624267762117774,0.9989674989805533,1.2569155785624453e-15,8.684025720739896e-14,0.9999989339416449,2.886579864025407e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_215,phenalenyl,215,OK,43,43,87,43,44,-0.204205,-0.20914,-0.000396,0.0017195436288709,0.9999999999999968,1.0000000000000062,-4.0617739461923e-05,0.0011052649969372,1.1052649969372954,0.1342881911239506,0.1343065822654172,0.0671532911327086,-5.691858,-5.555826,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_215,equal_contiguous_halves,A_then_B,phenalenyl_orca_215,0.0011052649969379752,0.13430658226541273,-5.556699128543524,-5.690987518201611,0.9982804563711292,7.752045533271357e-16,4.468647674116255e-15,0.9999970431697084,6.217248937900877e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_206,phenalenyl,206,OK,43,43,87,43,44,-0.203075,-0.211217,-0.000174,0.0005840659206765,1.0000000000000036,0.9999999999999978,-5.301309888005142e-05,0.0014425599097218,1.442559909721833,0.2215551068148338,0.2215739290105689,0.1107869645052844,-5.747612,-5.525838,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_206,equal_contiguous_halves,A_then_B,phenalenyl_orca_206,0.0014425599097235193,0.2215739290105969,-5.525951400458984,-5.747506545063707,0.9994159340793236,1.719327805127513e-15,2.7977620220553945e-14,0.9999996588670003,3.552713678800501e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_150,phenalenyl,150,OK,43,43,87,43,44,-0.206022,-0.205759,2.8e-05,-0.0004386870994352,0.999999999999999,0.9999999999999976,-6.232151823982172e-05,0.0016958549042601,1.695854904260175,0.0071565945826952,0.0079196307532022,0.0039598153766011,-5.606217,-5.598901,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_150,equal_contiguous_halves,A_then_B,phenalenyl_orca_150,0.001695854904259504,0.007919630755456685,-5.606144961464922,-5.598988366193597,0.9995613129005647,5.960943544325303e-16,2.25448479329593e-12,0.9999998075536288,2.4424906541753444e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_193,phenalenyl,193,OK,43,43,87,43,44,-0.207209,-0.204964,0.000479,-0.0019644641629157,0.9999999999999994,1.0000000000000024,7.415074244583166e-05,0.0020177444931203,2.017744493120302,0.0610895621222429,0.0612228239603799,0.0306114119801899,-5.641116,-5.574689,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_193,equal_contiguous_halves,A_then_B,phenalenyl_orca_193,0.002017744493121143,0.06122282396036861,-5.638440227796327,-5.577350547797785,0.9980355358370843,8.430756093247282e-16,1.1296519275560968e-14,0.9999961408805527,2.4424906541753444e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_251,phenalenyl,251,OK,43,43,87,43,44,-0.214607,-0.207178,-8.2e-05,2.7049376338207327e-05,0.999999999999998,1.0000000000000029,-7.629548945641763e-05,0.0020761060324252,2.076106032425285,0.2021533884214446,0.2021960270262273,0.1010980135131136,-5.83978,-5.637589,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_251,equal_contiguous_halves,A_then_B,phenalenyl_orca_251,0.002076106032426638,0.20219602702625758,-5.839753911972348,-5.637600523476948,0.9999729506236619,1.438085761584773e-15,3.0281332996651145e-14,0.9999999992683313,2.886579864025407e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_186,phenalenyl,186,OK,43,43,87,43,44,-0.205904,-0.204745,-2.2e-05,0.0005778704491626,0.9999999999999996,1.0,9.665099331416728e-05,0.0026300075101302,2.630007510130209,0.0315379966590999,0.031973634817355,0.0159868174086775,-5.60294,-5.571393,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_186,equal_contiguous_halves,A_then_B,phenalenyl_orca_186,0.002630007510129382,0.031973634817282534,-5.6029347960304365,-5.571396794105527,0.9994221295508374,8.179221189230645e-16,7.246286903850319e-14,0.999999666065744,4.440892098500626e-16,False,False,False,False,False,False,PASS
lowest,phenalenyl_205,phenalenyl,205,OK,43,43,87,43,44,-0.203549,-0.207101,-0.000313,0.0010027742196773,1.0000000000000036,0.9999999999999998,-0.0001071054910453,0.0029144888859008,2.914488885900887,0.0966548439457493,0.096830497438373,0.0484152487191865,-5.636248,-5.538115,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_205,equal_contiguous_halves,A_then_B,phenalenyl_orca_205,0.002914488885902491,0.09683049743813059,-5.538847512112304,-5.635502404654026,0.9989972257803228,1.6909217082083927e-15,2.4241719742690293e-13,0.9999989944438643,3.552713678800501e-15,False,False,False,False,False,False,PASS
lowest,phenalenyl_197,phenalenyl,197,OK,43,43,87,43,44,-0.204098,-0.209985,-0.000539,0.0019287844914543,1.0000000000000002,1.000000000000001,-0.0001396620852847,0.0038003989466041,3.8003989466041967,0.1601934308301314,0.1603739470047714,0.0801869735023857,-5.715316,-5.552452,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_197,equal_contiguous_halves,A_then_B,phenalenyl_orca_197,0.0038003989466037884,0.16037394700472535,-5.553782030894405,-5.713975759701938,0.9980712155085456,3.1181654480683108e-16,4.604649994632837e-14,0.9999962797903855,1.1102230246251565e-15,False,False,False,False,False,False,PASS
